Domain,Name,Cnt
news.naver.com,네이버뉴스,78
www.hankyung.com,한국경제,26
www.mk.co.kr,매일경제,15
m.news.naver.com,네이버뉴스(모바일),8
www.sedaily.com,서울경제,8
n.news.naver.com,네이버뉴스(모바일),5
www.fnnews.com,파이낸셜뉴스,5
www.thebell.co.kr,더벨,3
biz.chosun.com,조선일보_비즈,3
www.donga.com,동아닷컴,3
news.heraldcorp.com,헤럴드경제,2
view.asiae.co.kr,아시아경제,2
it.chosun.com,조선일보_IT,2
www.etnews.com,전자신문,2
newsis.com,뉴시스,2
news.kmib.co.kr,국민일보,2
www.hani.co.kr,한겨레,1
www.seoul.co.kr,서울신문,1
www.pressm.kr,프레스맨,1
www.ftoday.co.kr,파이낸셜투데이,1
www.ebn.co.kr,이비뉴스,1
www.edaily.co.kr,이데일리,1
www.kbanker.co.kr,대한금융신문,1
www.techm.kr,테크엠,1
www.yna.co.kr,연합뉴스,1
cnews.fntimes.com,한국금융,1
m.inews24.com,아이뉴스24(모바일),1
news.joins.com,중앙일보,1
weekly.hankooki.com,주간한국,1
www.kukinews.com,쿠키뉴스,1
m.biz.chosun.com,조선일보_비즈(모바일),1
cm.asiae.co.kr,아시아경제(모바일),1
m.mk.co.kr,매일경제(모바일),1
www.nongmin.com,농민신문,1
news.khan.co.kr,경향신문,1
toktokmagazine.com,톡톡매거진,1
www.dailian.co.kr,데일리안,1
news.v.daum.net,다음뉴스,1
www.businesskorea.co.kr,비즈니스코리아,1
www.inews24.com,아이뉴스24,1
news.tf.co.kr,더팩트,1
news1.kr,뉴스1코리아,1
www.hankookilbo.com,한국일보,1
news.mtn.co.kr,머니투데이,1
m.sedaily.com,서울경제(모바일),1
